整理番号,調達機関名,調達機関所在地,調達件名,契約年月日,契約相手方名称,契約相手方所在地,法人番号,落札金額
GOV-TX-006225,厚生労働省,東京都,広報Webサイト制作,2021-11-22,株式会社ソリューションサービス,東京都,1234567890123,2350000
GOV-TX-006226,国土交通省,東京都,ネットワーク機器調達,2023-05-10,伊藤忠テクノソリューションズ,東京都,1234567890123,2380000
GOV-TX-006227,株式会社アルファ建設,東京都,広報Webサイト制作,2021-06-27,株式会社ネットワーク商事,東京都,1234567890123,24010000
GOV-TX-006228,経済産業省,東京都,AI実証実験システム構築,2021-01-21,株式会社AIコンサルティング,東京都,1234567890123,1250000
GOV-TX-006229,財務省,東京都,データ分析支援業務,2022-04-14,株式会社第一通信,東京都,1234567890123,2730000
GOV-TX-006230,国土交通省,東京都,AI実証実験システム構築,2023-06-24,株式会社サイバー開発,東京都,1234567890123,1620000
GOV-TX-006231,国土交通省,東京都,ネットワーク機器調達,2022-03-25,株式会社クリエイティブ商事,東京都,1234567890123,1480000
GOV-TX-006232,防衛省,東京都,広報Webサイト制作,2023-11-10,株式会社ネットワーク通信,東京都,1234567890123,2050000
GOV-TX-006233,文部科学省,東京都,データ分析支援業務,2021-08-29,株式会社大和サービス,東京都,1234567890123,1710000
GOV-TX-006234,外務省,東京都,PC端末等の調達,2023-02-20,株式会社クリエイティブ商事,東京都,1234567890123,6390000
GOV-TX-006235,株式会社総合コンサルティング,東京都,調査研究委託費,2021-11-05,株式会社シグマ開発,東京都,1234567890123,5270000
GOV-TX-006236,株式会社クラウドソリューションズ,東京都,ヘルプデスク運営業務,2021-11-18,株式会社AIソリューションズ,東京都,1234567890123,1310000
GOV-TX-006237,国土交通省,東京都,セキュリティ監査業務,2024-01-10,株式会社サイバー商事,東京都,1234567890123,3460000
GOV-TX-006238,外務省,東京都,基幹システム保守運用業務,2020-12-15,株式会社オメガサービス,東京都,1234567890123,2380000
GOV-TX-006239,厚生労働省,東京都,ソフトウェアライセンス更新,2021-12-01,株式会社データ商事,東京都,1234567890123,2070000
GOV-TX-006240,株式会社オメガコンサルティング,東京都,システム更改に伴う開発業務,2024-10-18,株式会社テクノ商事,東京都,1234567890123,1310000
GOV-TX-006241,文部科学省,東京都,PC端末等の調達,2023-03-09,株式会社システム研究所,東京都,1234567890123,3140000
GOV-TX-006242,総務省,東京都,ソフトウェアライセンス更新,2020-07-16,株式会社総合ソリューションズ,東京都,1234567890123,2710000
GOV-TX-006243,外務省,東京都,PC端末等の調達,2025-01-15,株式会社フロンティアシステムズ,東京都,1234567890123,1200000
GOV-TX-006244,デジタル庁,東京都,データ分析支援業務,2020-09-12,（株）クリエイティブソリューションズ,東京都,1234567890123,1420000
GOV-TX-006245,株式会社アルファ商事,東京都,AI実証実験システム構築,2022-08-07,株式会社ベータ建設,東京都,1234567890123,1370000
GOV-TX-006246,株式会社日本ソリューションズ,東京都,ネットワーク機器調達,2020-06-15,株式会社第一建設,東京都,1234567890123,1080000
GOV-TX-006247,株式会社アルファサービス,東京都,データ分析支援業務,2025-01-22,株式会社グローバルシステムズ,東京都,1234567890123,1880000
GOV-TX-006248,経済産業省,東京都,システム更改に伴う開発業務,2022-06-13,株式会社大和サービス,東京都,1234567890123,1090000
GOV-TX-006249,内閣府,東京都,セキュリティ監査業務,2023-06-02,株式会社サイバーコンサルティング,東京都,1234567890123,1020000
GOV-TX-006250,防衛省,東京都,基幹システム保守運用業務,2022-01-31,株式会社グローバルサービス,東京都,1234567890123,1110000
GOV-TX-006251,株式会社クリエイティブコンサルティング,東京都,基幹システム保守運用業務,2021-05-11,株式会社ソリューションシステムズ,東京都,1234567890123,1400000
GOV-TX-006252,外務省,東京都,ネットワーク機器調達,2024-07-31,株式会社フロンティア商事,東京都,1234567890123,5030000
GOV-TX-006253,経済産業省,東京都,基幹システム保守運用業務,2023-07-25,株式会社グローバルソリューションズ,東京都,1234567890123,1230000
GOV-TX-006254,厚生労働省,東京都,データ分析支援業務,2025-03-11,株式会社ソリューション研究所,東京都,1234567890123,4220000
GOV-TX-006255,外務省,東京都,ソフトウェアライセンス更新,2022-08-11,株式会社ベータサービス,東京都,1234567890123,1530000
GOV-TX-006256,株式会社総合通信,東京都,セキュリティ監査業務,2024-12-04,株式会社AI通信,東京都,1234567890123,3130000
GOV-TX-006257,文部科学省,東京都,基幹システム保守運用業務,2022-04-01,株式会社データ商事,東京都,1234567890123,2960000
GOV-TX-006258,外務省,東京都,ネットワーク機器調達,2024-05-19,富士通株式会社,東京都,1234567890123,10430000
GOV-TX-006259,株式会社システム建設,東京都,PC端末等の調達,2022-11-15,（株）アルファサービス,東京都,1234567890123,1270000
GOV-TX-006260,経済産業省,東京都,システム更改に伴う開発業務,2023-02-26,（株）クリエイティブ建設,東京都,1234567890123,9030000
GOV-TX-006261,厚生労働省,東京都,ヘルプデスク運営業務,2023-11-10,株式会社クリエイティブ開発,東京都,1234567890123,3690000
GOV-TX-006262,株式会社サイバー建設,東京都,ネットワーク機器調達,2024-11-15,株式会社ネットワーク通信,東京都,1234567890123,1530000
GOV-TX-006263,総務省,東京都,システム更改に伴う開発業務,2024-04-04,（株）日本建設,東京都,1234567890123,3390000
GOV-TX-006264,株式会社アルファ開発,東京都,セキュリティ監査業務,2023-04-30,株式会社AIサービス,東京都,1234567890123,1380000
GOV-TX-006265,厚生労働省,東京都,ソフトウェアライセンス更新,2023-02-23,株式会社ベータシステムズ,東京都,1234567890123,1020000
GOV-TX-006266,財務省,東京都,広報Webサイト制作,2024-11-27,株式会社第一システムズ,東京都,1234567890123,1530000
GOV-TX-006267,株式会社クラウドコンサルティング,東京都,ソフトウェアライセンス更新,2021-07-08,株式会社IT開発,東京都,1234567890123,1270000
GOV-TX-006268,財務省,東京都,AI実証実験システム構築,2023-09-27,株式会社日本システムズ,東京都,1234567890123,2610000
GOV-TX-006269,株式会社クリエイティブ研究所,東京都,広報Webサイト制作,2023-09-21,株式会社システムソリューションズ,東京都,1234567890123,1730000
GOV-TX-006270,デジタル庁,東京都,ネットワーク機器調達,2024-07-03,株式会社IT研究所,東京都,1234567890123,1150000
GOV-TX-006271,総務省,東京都,PC端末等の調達,2023-01-17,株式会社ネットワークソリューションズ,東京都,1234567890123,1150000
GOV-TX-006272,デジタル庁,東京都,ネットワーク機器調達,2022-01-13,株式会社ベータコンサルティング,東京都,1234567890123,1390000
GOV-TX-006273,防衛省,東京都,データ分析支援業務,2022-03-27,株式会社日本サービス,東京都,1234567890123,7810000
GOV-TX-006274,富士通株式会社,東京都,セキュリティ監査業務,2025-03-26,株式会社AI商事,東京都,1234567890123,13650000
GOV-TX-006275,デジタル庁,東京都,システム更改に伴う開発業務,2023-09-01,株式会社アルファ通信,東京都,1234567890123,1040000
GOV-TX-006276,内閣府,東京都,AI実証実験システム構築,2021-03-16,株式会社オメガ通信,東京都,1234567890123,1390000
GOV-TX-006277,経済産業省,東京都,ネットワーク機器調達,2022-11-26,株式会社アルファ通信,東京都,1234567890123,1100000
GOV-TX-006278,株式会社テクノサービス,東京都,ヘルプデスク運営業務,2020-10-26,株式会社大和コンサルティング,東京都,1234567890123,1530000
GOV-TX-006279,文部科学省,東京都,ネットワーク機器調達,2020-09-16,株式会社アルファ通信,東京都,1234567890123,1700000
GOV-TX-006280,株式会社アルファシステムズ,東京都,システム更改に伴う開発業務,2020-07-20,株式会社テクノシステムズ,東京都,1234567890123,1300000
GOV-TX-006281,内閣府,東京都,調査研究委託費,2023-01-08,株式会社クラウドサービス,東京都,1234567890123,2850000
GOV-TX-006282,防衛省,東京都,システム更改に伴う開発業務,2024-10-15,株式会社ベータ商事,東京都,1234567890123,1330000
GOV-TX-006283,国土交通省,東京都,ネットワーク機器調達,2024-11-28,株式会社サイバーコンサルティング,東京都,1234567890123,1470000
GOV-TX-006284,防衛省,東京都,基幹システム保守運用業務,2022-07-21,富士通株式会社,東京都,1234567890123,1270000
GOV-TX-006285,デジタル庁,東京都,広報Webサイト制作,2024-09-11,株式会社クリエイティブ建設,東京都,1234567890123,3730000
GOV-TX-006286,内閣府,東京都,システム更改に伴う開発業務,2022-05-31,株式会社クラウド通信,東京都,1234567890123,4440000
GOV-TX-006287,財務省,東京都,広報Webサイト制作,2020-10-11,株式会社データコンサルティング,東京都,1234567890123,1310000
GOV-TX-006288,デジタル庁,東京都,データ分析支援業務,2022-07-21,株式会社オメガシステムズ,東京都,1234567890123,1390000
GOV-TX-006289,株式会社AI建設,東京都,広報Webサイト制作,2022-03-05,（株）フロンティア研究所,東京都,1234567890123,1370000
GOV-TX-006290,文部科学省,東京都,データ分析支援業務,2022-09-23,株式会社大和建設,東京都,1234567890123,1240000
GOV-TX-006291,株式会社フロンティアソリューションズ,東京都,データ分析支援業務,2022-03-06,伊藤忠テクノソリューションズ,東京都,1234567890123,1370000
GOV-TX-006292,文部科学省,東京都,ソフトウェアライセンス更新,2021-10-16,株式会社データ開発,東京都,1234567890123,3990000
GOV-TX-006293,国土交通省,東京都,PC端末等の調達,2020-04-25,株式会社クラウドシステムズ,東京都,1234567890123,24360000
GOV-TX-006294,株式会社AIコンサルティング,東京都,ネットワーク機器調達,2024-11-08,株式会社サイバーシステムズ,東京都,1234567890123,11990000
GOV-TX-006295,外務省,東京都,ソフトウェアライセンス更新,2024-06-15,株式会社フロンティア商事,東京都,1234567890123,1300000
GOV-TX-006296,財務省,東京都,基幹システム保守運用業務,2022-09-26,株式会社ソリューション研究所,東京都,1234567890123,1720000
GOV-TX-006297,国土交通省,東京都,ヘルプデスク運営業務,2022-09-01,株式会社シグマ建設,東京都,1234567890123,1160000
GOV-TX-006298,財務省,東京都,データ分析支援業務,2023-10-17,株式会社データサービス,東京都,1234567890123,2910000
GOV-TX-006299,防衛省,東京都,広報Webサイト制作,2021-06-08,株式会社総合研究所,東京都,1234567890123,1500000
GOV-TX-006300,デジタル庁,東京都,ソフトウェアライセンス更新,2023-10-02,株式会社クリエイティブ通信,東京都,1234567890123,1070000
GOV-TX-006301,経済産業省,東京都,PC端末等の調達,2023-07-24,株式会社ITサービス,東京都,1234567890123,1300000
GOV-TX-006302,防衛省,東京都,ヘルプデスク運営業務,2022-09-06,株式会社クラウドシステムズ,東京都,1234567890123,1030000
GOV-TX-006303,株式会社AI通信,東京都,基幹システム保守運用業務,2023-01-27,株式会社AI開発,東京都,1234567890123,1800000
GOV-TX-006304,内閣府,東京都,システム更改に伴う開発業務,2020-07-14,株式会社シグマ商事,東京都,1234567890123,1190000
GOV-TX-006305,内閣府,東京都,ソフトウェアライセンス更新,2022-09-15,株式会社データ通信,東京都,1234567890123,1570000
GOV-TX-006306,厚生労働省,東京都,調査研究委託費,2024-09-21,株式会社日本開発,東京都,1234567890123,2830000
GOV-TX-006307,総務省,東京都,ネットワーク機器調達,2020-10-11,株式会社ソリューションソリューションズ,東京都,1234567890123,1830000
GOV-TX-006308,経済産業省,東京都,広報Webサイト制作,2021-10-24,株式会社システム建設,東京都,1234567890123,1100000
GOV-TX-006309,経済産業省,東京都,ネットワーク機器調達,2024-10-12,（株）ベータ建設,東京都,1234567890123,1450000
GOV-TX-006310,伊藤忠テクノソリューションズ,東京都,クラウド基盤提供サービス,2022-06-01,株式会社日本ソリューションズ,東京都,1234567890123,3750000
GOV-TX-006311,株式会社ソリューション開発,東京都,ネットワーク機器調達,2021-07-22,株式会社IT商事,東京都,1234567890123,1350000
GOV-TX-006312,外務省,東京都,クラウド基盤提供サービス,2024-10-06,株式会社AIソリューションズ,東京都,1234567890123,64390000
GOV-TX-006313,株式会社クリエイティブコンサルティング,東京都,ソフトウェアライセンス更新,2020-08-21,株式会社IT研究所,東京都,1234567890123,1790000
GOV-TX-006314,デジタル庁,東京都,ヘルプデスク運営業務,2024-12-03,株式会社オメガコンサルティング,東京都,1234567890123,1590000
GOV-TX-006315,国土交通省,東京都,ヘルプデスク運営業務,2022-11-02,株式会社フロンティア商事,東京都,1234567890123,1230000
GOV-TX-006316,防衛省,東京都,ヘルプデスク運営業務,2022-08-04,（株）総合サービス,東京都,1234567890123,1760000
GOV-TX-006317,株式会社大和システムズ,東京都,PC端末等の調達,2023-04-24,株式会社フロンティアコンサルティング,東京都,1234567890123,1490000
GOV-TX-006318,外務省,東京都,ネットワーク機器調達,2021-07-09,株式会社グローバルシステムズ,東京都,1234567890123,1570000
GOV-TX-006319,内閣府,東京都,ネットワーク機器調達,2023-02-07,株式会社サイバー開発,東京都,1234567890123,1610000
GOV-TX-006320,株式会社オメガ開発,東京都,PC端末等の調達,2024-05-29,株式会社オメガ通信,東京都,1234567890123,6440000
GOV-TX-006321,経済産業省,東京都,システム更改に伴う開発業務,2022-02-12,株式会社システムソリューションズ,東京都,1234567890123,1070000
GOV-TX-006322,厚生労働省,東京都,ソフトウェアライセンス更新,2023-05-11,株式会社総合開発,東京都,1234567890123,4930000
GOV-TX-006323,厚生労働省,東京都,基幹システム保守運用業務,2025-03-29,株式会社日本サービス,東京都,1234567890123,5870000
GOV-TX-006324,経済産業省,東京都,PC端末等の調達,2022-12-22,株式会社グローバル通信,東京都,1234567890123,1680000
GOV-TX-006325,内閣府,東京都,データ分析支援業務,2023-07-10,株式会社ネットワーク通信,東京都,1234567890123,1840000
GOV-TX-006326,株式会社シグマ開発,東京都,ヘルプデスク運営業務,2024-10-02,株式会社日本研究所,東京都,1234567890123,1140000
GOV-TX-006327,厚生労働省,東京都,AI実証実験システム構築,2024-04-01,株式会社システムシステムズ,東京都,1234567890123,1540000
GOV-TX-006328,デジタル庁,東京都,セキュリティ監査業務,2024-07-04,株式会社第一通信,東京都,1234567890123,2210000
GOV-TX-006329,防衛省,東京都,クラウド基盤提供サービス,2020-07-21,株式会社AI通信,東京都,1234567890123,1080000
GOV-TX-006330,株式会社データ通信,東京都,ソフトウェアライセンス更新,2024-05-17,株式会社オメガコンサルティング,東京都,1234567890123,1040000
GOV-TX-006331,外務省,東京都,ヘルプデスク運営業務,2023-11-29,株式会社ITソリューションズ,東京都,1234567890123,1180000
GOV-TX-006332,株式会社AIシステムズ,東京都,基幹システム保守運用業務,2022-11-10,株式会社大和コンサルティング,東京都,1234567890123,1850000
GOV-TX-006333,国土交通省,東京都,調査研究委託費,2023-01-23,株式会社オメガ開発,東京都,1234567890123,11190000
GOV-TX-006334,内閣府,東京都,PC端末等の調達,2021-07-29,株式会社日本商事,東京都,1234567890123,5140000
GOV-TX-006335,文部科学省,東京都,AI実証実験システム構築,2021-01-06,株式会社データコンサルティング,東京都,1234567890123,1240000
GOV-TX-006336,株式会社アルファ通信,東京都,ソフトウェアライセンス更新,2023-04-14,株式会社大和建設,東京都,1234567890123,3760000
GOV-TX-006337,防衛省,東京都,システム更改に伴う開発業務,2023-12-03,株式会社ソリューション開発,東京都,1234567890123,1190000
GOV-TX-006338,株式会社シグマ開発,東京都,システム更改に伴う開発業務,2022-02-23,株式会社フロンティア研究所,東京都,1234567890123,2720000
GOV-TX-006339,株式会社クリエイティブ建設,東京都,AI実証実験システム構築,2022-10-21,株式会社オメガ開発,東京都,1234567890123,1510000
GOV-TX-006340,総務省,東京都,クラウド基盤提供サービス,2022-03-30,株式会社日本開発,東京都,1234567890123,3280000
GOV-TX-006341,外務省,東京都,クラウド基盤提供サービス,2023-05-15,株式会社テクノサービス,東京都,1234567890123,1140000
GOV-TX-006342,株式会社シグマ商事,東京都,ネットワーク機器調達,2023-07-31,株式会社シグマコンサルティング,東京都,1234567890123,1310000
GOV-TX-006343,厚生労働省,東京都,AI実証実験システム構築,2021-04-12,株式会社IT通信,東京都,1234567890123,1090000
GOV-TX-006344,財務省,東京都,データ分析支援業務,2020-08-26,株式会社システム商事,東京都,1234567890123,1050000
GOV-TX-006345,文部科学省,東京都,AI実証実験システム構築,2025-02-20,（株）総合研究所,東京都,1234567890123,1060000
GOV-TX-006346,株式会社シグマ商事,東京都,調査研究委託費,2024-05-10,株式会社アルファ開発,東京都,1234567890123,1080000
GOV-TX-006347,株式会社オメガサービス,東京都,広報Webサイト制作,2025-01-06,株式会社日本通信,東京都,1234567890123,1270000
GOV-TX-006348,株式会社総合建設,東京都,PC端末等の調達,2024-03-28,株式会社IT商事,東京都,1234567890123,1410000
GOV-TX-006349,株式会社ベータ建設,東京都,データ分析支援業務,2020-05-03,株式会社日本通信,東京都,1234567890123,1470000
GOV-TX-006350,総務省,東京都,システム更改に伴う開発業務,2021-12-10,株式会社総合サービス,東京都,1234567890123,3890000
GOV-TX-006351,外務省,東京都,基幹システム保守運用業務,2022-01-15,日立製作所,東京都,1234567890123,1170000
GOV-TX-006352,文部科学省,東京都,基幹システム保守運用業務,2023-02-16,株式会社ネットワーク商事,東京都,1234567890123,1300000
GOV-TX-006353,外務省,東京都,PC端末等の調達,2023-03-06,株式会社日本コンサルティング,東京都,1234567890123,1520000
GOV-TX-006354,防衛省,東京都,ネットワーク機器調達,2024-09-09,株式会社テクノシステムズ,東京都,1234567890123,5730000
GOV-TX-006355,総務省,東京都,データ分析支援業務,2024-07-15,株式会社大和サービス,東京都,1234567890123,2410000
GOV-TX-006356,厚生労働省,東京都,ヘルプデスク運営業務,2020-12-02,株式会社アルファ開発,東京都,1234567890123,3650000
GOV-TX-006357,総務省,東京都,ネットワーク機器調達,2023-06-21,（株）クラウド建設,東京都,1234567890123,6360000
GOV-TX-006358,内閣府,東京都,システム更改に伴う開発業務,2024-04-07,株式会社ITコンサルティング,東京都,1234567890123,1690000
GOV-TX-006359,内閣府,東京都,AI実証実験システム構築,2024-05-02,株式会社テクノコンサルティング,東京都,1234567890123,1710000
GOV-TX-006360,文部科学省,東京都,AI実証実験システム構築,2020-10-26,株式会社オメガコンサルティング,東京都,1234567890123,1170000
GOV-TX-006361,経済産業省,東京都,システム更改に伴う開発業務,2023-11-09,株式会社フロンティア研究所,東京都,1234567890123,1470000
GOV-TX-006362,外務省,東京都,データ分析支援業務,2020-04-08,株式会社ソリューション研究所,東京都,1234567890123,5610000
GOV-TX-006363,文部科学省,東京都,AI実証実験システム構築,2024-04-29,株式会社フロンティア開発,東京都,1234567890123,1040000
GOV-TX-006364,経済産業省,東京都,データ分析支援業務,2020-04-30,株式会社データ開発,東京都,1234567890123,1340000
GOV-TX-006365,株式会社システム研究所,東京都,システム更改に伴う開発業務,2023-01-09,株式会社AIシステムズ,東京都,1234567890123,1020000
GOV-TX-006366,財務省,東京都,ソフトウェアライセンス更新,2023-03-01,株式会社システム研究所,東京都,1234567890123,1310000
GOV-TX-006367,国土交通省,東京都,クラウド基盤提供サービス,2022-05-12,株式会社アルファ通信,東京都,1234567890123,1140000
GOV-TX-006368,株式会社クリエイティブソリューションズ,東京都,ソフトウェアライセンス更新,2023-02-10,株式会社テクノ建設,東京都,1234567890123,2970000
GOV-TX-006369,株式会社野村総合研究所(NRI),東京都,AI実証実験システム構築,2021-05-29,株式会社ベータシステムズ,東京都,1234567890123,1300000
GOV-TX-006370,経済産業省,東京都,ソフトウェアライセンス更新,2023-08-12,株式会社大和コンサルティング,東京都,1234567890123,1100000
GOV-TX-006371,株式会社ベータ研究所,東京都,システム更改に伴う開発業務,2022-07-17,株式会社オメガコンサルティング,東京都,1234567890123,1210000
GOV-TX-006372,外務省,東京都,データ分析支援業務,2020-11-08,伊藤忠テクノソリューションズ,東京都,1234567890123,4200000
GOV-TX-006373,株式会社IT建設,東京都,セキュリティ監査業務,2023-06-03,株式会社グローバル研究所,東京都,1234567890123,1610000
GOV-TX-006374,文部科学省,東京都,ネットワーク機器調達,2023-12-06,伊藤忠テクノソリューションズ,東京都,1234567890123,1090000
GOV-TX-006375,財務省,東京都,ヘルプデスク運営業務,2025-03-22,株式会社大和通信,東京都,1234567890123,1040000
GOV-TX-006376,経済産業省,東京都,セキュリティ監査業務,2023-07-31,（株）フロンティア商事,東京都,1234567890123,2550000
GOV-TX-006377,株式会社クリエイティブ通信,東京都,基幹システム保守運用業務,2022-07-26,株式会社ベータ通信,東京都,1234567890123,7450000
GOV-TX-006378,財務省,東京都,ネットワーク機器調達,2020-12-08,株式会社グローバルシステムズ,東京都,1234567890123,1750000
GOV-TX-006379,文部科学省,東京都,システム更改に伴う開発業務,2023-09-12,株式会社アルファソリューションズ,東京都,1234567890123,2920000
GOV-TX-006380,株式会社日本研究所,東京都,PC端末等の調達,2020-09-26,株式会社ベータ商事,東京都,1234567890123,1040000
GOV-TX-006381,厚生労働省,東京都,ヘルプデスク運営業務,2024-02-12,（株）IT通信,東京都,1234567890123,5570000
GOV-TX-006382,厚生労働省,東京都,セキュリティ監査業務,2021-07-02,株式会社グローバルソリューションズ,東京都,1234567890123,1400000
GOV-TX-006383,財務省,東京都,調査研究委託費,2025-01-11,株式会社ソリューション研究所,東京都,1234567890123,1080000
GOV-TX-006384,内閣府,東京都,PC端末等の調達,2021-12-31,株式会社AIコンサルティング,東京都,1234567890123,1410000
GOV-TX-006385,国土交通省,東京都,データ分析支援業務,2020-08-23,株式会社クリエイティブソリューションズ,東京都,1234567890123,2110000
GOV-TX-006386,防衛省,東京都,セキュリティ監査業務,2020-07-14,株式会社大和建設,東京都,1234567890123,1490000
GOV-TX-006387,総務省,東京都,セキュリティ監査業務,2022-04-24,株式会社シグマコンサルティング,東京都,1234567890123,1050000
GOV-TX-006388,経済産業省,東京都,クラウド基盤提供サービス,2021-10-21,株式会社サイバーサービス,東京都,1234567890123,1040000
GOV-TX-006389,財務省,東京都,データ分析支援業務,2022-10-31,株式会社ネットワークサービス,東京都,1234567890123,1080000
GOV-TX-006390,国土交通省,東京都,ソフトウェアライセンス更新,2023-04-09,株式会社大和商事,東京都,1234567890123,3220000
GOV-TX-006391,内閣府,東京都,ヘルプデスク運営業務,2024-12-05,株式会社オメガ開発,東京都,1234567890123,2790000
GOV-TX-006392,財務省,東京都,システム更改に伴う開発業務,2023-09-22,株式会社AI開発,東京都,1234567890123,1660000
GOV-TX-006393,文部科学省,東京都,クラウド基盤提供サービス,2025-03-06,株式会社クラウド研究所,東京都,1234567890123,1180000
GOV-TX-006394,国土交通省,東京都,システム更改に伴う開発業務,2024-05-30,株式会社日本開発,東京都,1234567890123,2490000
GOV-TX-006395,デジタル庁,東京都,ソフトウェアライセンス更新,2025-03-26,株式会社クリエイティブ商事,東京都,1234567890123,5970000
GOV-TX-006396,国土交通省,東京都,AI実証実験システム構築,2021-06-09,株式会社ネットワーク研究所,東京都,1234567890123,1260000
GOV-TX-006397,国土交通省,東京都,ヘルプデスク運営業務,2024-08-24,株式会社システムソリューションズ,東京都,1234567890123,11210000
GOV-TX-006398,経済産業省,東京都,広報Webサイト制作,2023-03-15,株式会社ソリューション商事,東京都,1234567890123,1610000
GOV-TX-006399,デジタル庁,東京都,調査研究委託費,2022-03-14,株式会社オメガ開発,東京都,1234567890123,2050000
GOV-TX-006400,経済産業省,東京都,AI実証実験システム構築,2023-03-16,株式会社アルファ商事,東京都,1234567890123,1010000
GOV-TX-006401,文部科学省,東京都,クラウド基盤提供サービス,2024-11-10,株式会社サイバー建設,東京都,1234567890123,2380000
GOV-TX-006402,デジタル庁,東京都,PC端末等の調達,2023-01-13,株式会社フロンティアシステムズ,東京都,1234567890123,4700000
GOV-TX-006403,内閣府,東京都,データ分析支援業務,2022-01-23,株式会社シグマ商事,東京都,1234567890123,1800000
GOV-TX-006404,経済産業省,東京都,調査研究委託費,2023-01-24,株式会社フロンティア通信,東京都,1234567890123,123760000
GOV-TX-006405,デジタル庁,東京都,データ分析支援業務,2022-03-06,株式会社ベータサービス,東京都,1234567890123,1420000
GOV-TX-006406,財務省,東京都,ソフトウェアライセンス更新,2024-03-19,株式会社ベータ通信,東京都,1234567890123,2060000
GOV-TX-006407,防衛省,東京都,ネットワーク機器調達,2024-06-06,株式会社大和サービス,東京都,1234567890123,2680000
GOV-TX-006408,総務省,東京都,システム更改に伴う開発業務,2023-03-16,株式会社テクノソリューションズ,東京都,1234567890123,4560000
GOV-TX-006409,防衛省,東京都,基幹システム保守運用業務,2023-04-06,株式会社AI開発,東京都,1234567890123,9090000
GOV-TX-006410,経済産業省,東京都,セキュリティ監査業務,2023-04-07,株式会社クラウドサービス,東京都,1234567890123,1620000
GOV-TX-006411,内閣府,東京都,ネットワーク機器調達,2024-06-11,株式会社シグマコンサルティング,東京都,1234567890123,1050000
GOV-TX-006412,株式会社アルファ商事,東京都,ネットワーク機器調達,2024-10-30,株式会社クラウドシステムズ,東京都,1234567890123,1700000
GOV-TX-006413,外務省,東京都,基幹システム保守運用業務,2023-12-24,株式会社AIソリューションズ,東京都,1234567890123,1240000
GOV-TX-006414,内閣府,東京都,ソフトウェアライセンス更新,2020-07-23,株式会社シグマ建設,東京都,1234567890123,2400000
GOV-TX-006415,デジタル庁,東京都,PC端末等の調達,2023-10-21,株式会社シグマ開発,東京都,1234567890123,1230000
GOV-TX-006416,防衛省,東京都,データ分析支援業務,2020-04-29,株式会社ベータコンサルティング,東京都,1234567890123,1240000
GOV-TX-006417,厚生労働省,東京都,システム更改に伴う開発業務,2023-11-04,株式会社総合通信,東京都,1234567890123,1290000
GOV-TX-006418,株式会社サイバーコンサルティング,東京都,広報Webサイト制作,2024-02-10,株式会社日本コンサルティング,東京都,1234567890123,1010000
GOV-TX-006419,株式会社システム通信,東京都,システム更改に伴う開発業務,2022-01-27,株式会社オメガ商事,東京都,1234567890123,1320000
GOV-TX-006420,厚生労働省,東京都,ネットワーク機器調達,2023-01-09,日立製作所,東京都,1234567890123,1320000
GOV-TX-006421,内閣府,東京都,PC端末等の調達,2024-02-16,株式会社ITソリューションズ,東京都,1234567890123,1200000
GOV-TX-006422,文部科学省,東京都,システム更改に伴う開発業務,2021-12-31,株式会社ソリューションソリューションズ,東京都,1234567890123,1450000
GOV-TX-006423,経済産業省,東京都,データ分析支援業務,2021-09-12,株式会社ベータサービス,東京都,1234567890123,2140000
GOV-TX-006424,内閣府,東京都,ネットワーク機器調達,2024-01-06,株式会社日本商事,東京都,1234567890123,3180000
GOV-TX-006425,総務省,東京都,システム更改に伴う開発業務,2022-03-28,株式会社システム通信,東京都,1234567890123,1360000
GOV-TX-006426,外務省,東京都,クラウド基盤提供サービス,2024-12-21,株式会社アルファコンサルティング,東京都,1234567890123,1780000
GOV-TX-006427,経済産業省,東京都,ネットワーク機器調達,2024-09-22,株式会社ベータ商事,東京都,1234567890123,1790000
GOV-TX-006428,防衛省,東京都,基幹システム保守運用業務,2023-12-07,株式会社アルファ開発,東京都,1234567890123,7060000
GOV-TX-006429,経済産業省,東京都,データ分析支援業務,2022-02-25,株式会社アルファサービス,東京都,1234567890123,1060000
GOV-TX-006430,文部科学省,東京都,広報Webサイト制作,2024-03-04,株式会社アルファ通信,東京都,1234567890123,1960000
GOV-TX-006431,防衛省,東京都,基幹システム保守運用業務,2022-05-06,株式会社クリエイティブシステムズ,東京都,1234567890123,1140000
GOV-TX-006432,内閣府,東京都,データ分析支援業務,2022-11-27,日本電気株式会社(NEC),東京都,1234567890123,1740000
GOV-TX-006433,防衛省,東京都,調査研究委託費,2023-03-10,株式会社システム商事,東京都,1234567890123,2110000
GOV-TX-006434,経済産業省,東京都,PC端末等の調達,2024-12-08,株式会社システム商事,東京都,1234567890123,4080000
GOV-TX-006435,デジタル庁,東京都,ソフトウェアライセンス更新,2024-02-09,株式会社AI建設,東京都,1234567890123,1250000
GOV-TX-006436,株式会社サイバーサービス,東京都,AI実証実験システム構築,2023-12-28,株式会社ベータコンサルティング,東京都,1234567890123,1910000
GOV-TX-006437,株式会社第一商事,東京都,ヘルプデスク運営業務,2022-08-02,株式会社大和開発,東京都,1234567890123,2680000
GOV-TX-006438,文部科学省,東京都,調査研究委託費,2021-02-04,株式会社オメガ研究所,東京都,1234567890123,1990000
